epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,1.306205e+02,,2.000000e-03,100.00,155.827
1,4.705706e+00,,1.998027e-03,93.00,54.603
2,3.420365e+00,,1.992115e-03,100.00,54.599
3,2.959441e+00,,1.982287e-03,100.00,54.601
4,3.499061e+00,1.899822e+00,1.968583e-03,1.00,59.189
5,1.810875e+00,,1.951057e-03,93.00,54.570
6,1.574030e+00,,1.929776e-03,100.00,54.578
7,1.271943e+00,,1.904827e-03,100.00,54.579
8,1.216776e+00,,1.876307e-03,93.00,54.575
9,9.588345e-01,1.819639e+00,1.844328e-03,0.00,59.166
10,1.032058e+00,,1.809017e-03,93.00,54.573
11,8.937898e-01,,1.770513e-03,93.00,54.579
12,8.098243e-01,,1.728969e-03,93.00,54.573
13,6.964948e-01,,1.684547e-03,100.00,54.577
14,7.503918e-01,5.586205e-01,1.637424e-03,3.00,59.171
15,5.787893e-01,,1.587785e-03,93.00,54.568
16,6.818609e-01,,1.535827e-03,93.00,54.570
17,6.586534e-01,,1.481754e-03,100.00,54.572
18,5.663226e-01,,1.425779e-03,93.00,54.574
19,4.698025e-01,6.131275e-01,1.368125e-03,94.00,58.659
20,5.388826e-01,,1.309017e-03,100.00,54.550
21,5.576691e-01,,1.248690e-03,100.00,54.569
22,5.252781e-01,,1.187381e-03,93.00,54.562
23,4.788815e-01,,1.125333e-03,93.00,54.567
24,4.825448e-01,4.662591e-01,1.062791e-03,3.00,59.161
25,4.071655e-01,,1.000000e-03,100.00,54.564
26,4.390239e-01,,9.372095e-04,100.00,54.560
27,4.531836e-01,,8.746668e-04,100.00,54.569
28,4.136864e-01,,8.126187e-04,93.00,54.568
29,3.969828e-01,3.477523e-01,7.513101e-04,0.00,59.169
30,3.971652e-01,,6.909830e-04,100.00,54.554
31,3.768545e-01,,6.318754e-04,93.00,54.559
