epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,5.558583e+02,,1.000000e-07,99.00,214.089
1,4.952558e+02,,2.008000e-05,70.00,15.191
2,2.780042e+02,,4.006000e-05,73.00,13.992
3,2.746432e+02,,6.004000e-05,13.00,13.735
4,2.469443e+02,,8.002000e-05,65.00,13.460
5,1.710494e+02,,1.000000e-04,100.00,13.353
6,1.772436e+02,,9.755283e-05,12.00,13.353
7,1.294384e+02,,9.045085e-05,16.00,13.356
8,1.171776e+02,,7.938926e-05,100.00,13.359
9,1.084909e+02,,6.545085e-05,73.00,13.442
10,9.030905e+01,,5.000000e-05,26.00,13.454
11,9.046528e+01,,3.454915e-05,55.00,13.358
12,8.371537e+01,,2.061074e-05,89.00,13.355
13,7.991606e+01,,9.549150e-06,100.00,13.357
14,7.922300e+01,,2.447174e-06,15.00,13.355
15,7.747151e+01,,1.000000e-04,16.00,13.356
16,7.233849e+01,,9.938442e-05,50.00,13.360
17,6.704008e+01,,9.755283e-05,80.00,13.355
18,6.197143e+01,,9.455033e-05,100.00,13.353
19,5.788877e+01,5.859524e+01,9.045085e-05,20.00,31.313
20,5.477011e+01,,8.535534e-05,15.00,13.559
21,5.144349e+01,,7.938926e-05,76.00,13.366
22,4.939327e+01,,7.269952e-05,99.00,13.368
23,4.731618e+01,,6.545085e-05,100.00,13.365
24,4.473193e+01,,5.782172e-05,100.00,13.370
25,4.357732e+01,,5.000000e-05,17.00,13.368
26,4.256723e+01,,4.217828e-05,18.00,13.364
27,4.166133e+01,,3.454915e-05,46.00,13.367
28,4.094647e+01,,2.730048e-05,67.00,13.368
29,4.031551e+01,,2.061074e-05,95.00,13.366
30,4.040051e+01,,1.464466e-05,100.00,13.365
31,3.990505e+01,,9.549150e-06,15.00,13.366
32,4.000635e+01,,5.449674e-06,17.00,13.369
33,3.937012e+01,,2.447174e-06,16.00,13.367
34,3.998067e+01,,6.155830e-07,43.00,13.366
35,3.933612e+01,,1.000000e-04,75.00,13.356
36,3.654897e+01,,9.984587e-05,17.00,13.346
37,3.452934e+01,,9.938442e-05,70.00,13.347
38,3.341635e+01,,9.861850e-05,100.00,13.342
39,3.178682e+01,3.188942e+01,9.755283e-05,9.00,15.962
40,3.041575e+01,,9.619398e-05,43.00,13.356
41,2.926928e+01,,9.455033e-05,72.00,13.355
42,2.794482e+01,,9.263201e-05,100.00,13.349
43,2.626484e+01,,9.045085e-05,15.00,13.348
44,2.578982e+01,,8.802030e-05,20.00,13.349
45,2.470248e+01,,8.535534e-05,52.00,13.361
46,2.397030e+01,,8.247240e-05,77.00,13.361
47,2.344403e+01,,7.938926e-05,100.00,13.361
48,2.232335e+01,,7.612493e-05,15.00,13.355
49,2.169199e+01,,7.269952e-05,16.00,13.351
50,2.127994e+01,,6.913417e-05,48.00,13.351
51,2.052882e+01,,6.545085e-05,100.00,13.356
52,2.026173e+01,,6.167227e-05,28.00,13.352
53,1.996412e+01,,5.782172e-05,63.00,13.352
54,1.933187e+01,,5.392295e-05,99.00,13.356
55,1.935602e+01,,5.000000e-05,100.00,13.354
56,1.869441e+01,,4.607705e-05,17.00,13.352
57,1.868722e+01,,4.217828e-05,32.00,13.353
58,1.826295e+01,,3.832773e-05,60.00,13.360
59,1.816048e+01,1.816467e+01,3.454915e-05,84.00,15.785
60,1.764545e+01,,3.086583e-05,17.00,13.348
61,1.759424e+01,,2.730048e-05,13.00,13.351
62,1.765145e+01,,2.387507e-05,51.00,13.347
63,1.757694e+01,,2.061074e-05,98.00,13.344
64,1.749431e+01,,1.752760e-05,11.00,13.355
65,1.704057e+01,,1.464466e-05,17.00,13.355
66,1.697481e+01,,1.197970e-05,29.00,13.351
67,1.715237e+01,,9.549150e-06,100.00,13.352
68,1.680876e+01,,7.367992e-06,15.00,13.356
69,1.742121e+01,,5.449674e-06,52.00,13.354
70,1.694094e+01,,3.806023e-06,85.00,13.352
71,1.688609e+01,,2.447174e-06,100.00,13.350
72,1.696928e+01,,1.381504e-06,15.00,13.348
73,1.699553e+01,,6.155830e-07,29.00,13.354
74,1.702610e+01,,1.541333e-07,61.00,13.353
75,1.647370e+01,,1.000000e-04,96.00,13.351
76,1.963706e+01,,9.996145e-05,16.00,13.351
77,1.853528e+01,,9.984587e-05,15.00,13.359
78,1.751360e+01,,9.965342e-05,39.00,13.351
79,1.729320e+01,1.623530e+01,9.938442e-05,69.00,15.736
80,1.508095e+01,,9.903926e-05,49.00,13.362
81,1.652649e+01,,9.861850e-05,83.00,13.361
82,1.527195e+01,,9.812276e-05,100.00,13.355
83,1.503155e+01,,9.755283e-05,100.00,13.356
84,1.324089e+01,,9.690957e-05,11.00,13.357
85,1.433614e+01,,9.619398e-05,35.00,13.362
86,1.445211e+01,,9.540716e-05,64.00,13.359
87,1.346139e+01,,9.455033e-05,97.00,13.360
88,1.252237e+01,,9.362480e-05,66.00,13.630
89,1.309987e+01,,9.263201e-05,17.00,13.689
90,1.170901e+01,,9.157348e-05,100.00,13.656
91,1.286613e+01,,9.045085e-05,46.00,13.659
92,1.177395e+01,,8.926585e-05,17.00,13.664
93,1.189856e+01,,8.802030e-05,98.00,13.664
94,1.193170e+01,,8.671613e-05,44.00,13.659
95,1.067393e+01,,8.535534e-05,17.00,13.660
96,1.132400e+01,,8.394004e-05,18.00,13.660
97,1.038515e+01,,8.247240e-05,100.00,13.656
98,1.092436e+01,,8.095470e-05,44.00,13.708
99,1.079387e+01,9.654164e+00,7.938926e-05,74.00,16.171
100,9.829741e+00,,7.777851e-05,100.00,13.716
101,1.016955e+01,,7.612493e-05,15.00,13.716
102,1.027924e+01,,7.443106e-05,82.00,13.716
