epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,3.390020e+01,,2.000000e-03,16.00,199.008
1,1.642207e+00,,1.998027e-03,97.00,99.773
2,1.071922e+00,,1.992115e-03,100.00,99.754
3,6.964984e-01,,1.982287e-03,100.00,99.758
4,4.905964e-01,7.241272e-01,1.968583e-03,0.00,107.553
5,4.092982e-01,,1.951057e-03,94.00,99.708
6,3.245798e-01,,1.929776e-03,97.00,99.717
7,2.846390e-01,,1.904827e-03,100.00,99.702
8,6.551650e+06,,1.876307e-03,94.00,99.651
9,6.543859e+03,1.862896e+03,1.844328e-03,95.00,106.946
10,3.318366e+03,,1.809017e-03,100.00,99.635
11,3.414717e+03,,1.770513e-03,95.00,99.594
12,1.076356e+03,,1.728969e-03,94.00,99.604
13,8.036460e+02,,1.684547e-03,100.00,99.599
14,5.780499e+02,2.486709e+02,1.637424e-03,94.00,106.883
15,4.062012e+02,,1.587785e-03,94.00,99.581
16,3.787820e+02,,1.535827e-03,100.00,99.584
17,2.946528e+02,,1.481754e-03,94.00,99.598
