epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,6.938703e+00,,1.000000e-03,97.00,274.708
1,5.653298e-01,,9.997533e-04,97.00,157.605
2,7.329734e-01,,9.990134e-04,93.00,157.644
3,3.398400e-01,,9.977810e-04,94.00,157.650
4,3.003735e-01,3.010035e-01,9.960574e-04,6.00,169.534
5,2.864074e-01,,9.938442e-04,93.00,157.679
6,2.942175e-01,,9.911436e-04,97.00,157.617
7,2.633792e-01,,9.879584e-04,97.00,157.666
8,2.465471e-01,,9.842916e-04,93.00,157.682
9,9.762284e+00,6.683642e-01,9.801468e-04,89.00,169.083
10,6.501091e-01,,9.755283e-04,97.00,157.372
11,5.202235e-01,,9.704404e-04,97.00,157.394
12,6.023732e-01,,9.648882e-04,97.00,157.335
13,4.682614e-01,,9.588773e-04,94.00,157.356
14,4.826734e-01,4.263037e-01,9.524135e-04,90.00,169.003
15,3.961226e-01,,9.455033e-04,95.00,157.591
16,5.602921e-01,,9.381533e-04,96.00,157.578
17,4.048790e-01,,9.303710e-04,95.00,157.587
18,3.447432e-01,,9.221640e-04,97.00,157.652
19,3.120345e-01,2.962041e-01,9.135403e-04,5.00,169.539
20,2.913938e-01,,9.045085e-04,94.00,157.724
21,2.758090e-01,,8.950775e-04,97.00,157.676
22,2.632811e-01,,8.852566e-04,94.00,157.686
23,2.536645e-01,,8.750555e-04,94.00,157.692
24,2.466110e-01,2.480564e-01,8.644843e-04,21.00,169.583
25,2.414216e-01,,8.535534e-04,93.00,157.701
26,2.364939e-01,,8.422736e-04,94.00,157.641
27,2.314682e-01,,8.306559e-04,93.00,157.592
28,2.303999e-01,,8.187120e-04,97.00,157.591
29,2.250688e-01,2.190449e-01,8.064535e-04,5.00,169.381
30,2.234444e-01,,7.938926e-04,94.00,157.511
31,2.203875e-01,,7.810417e-04,97.00,157.445
32,2.192060e-01,,7.679134e-04,94.00,157.391
33,2.164891e-01,,7.545207e-04,94.00,157.420
34,2.147641e-01,2.098757e-01,7.408768e-04,54.00,169.242
35,2.120987e-01,,7.269952e-04,97.00,157.438
36,2.097053e-01,,7.128896e-04,94.00,157.390
37,2.076966e-01,,6.985739e-04,95.00,157.398
38,2.052130e-01,,6.840623e-04,97.00,157.406
39,2.460301e-01,2.555264e-01,6.693690e-04,89.00,168.783
40,2.290766e-01,,6.545085e-04,94.00,157.336
41,2.130625e-01,,6.394956e-04,97.00,157.304
42,2.065929e-01,,6.243449e-04,95.00,157.331
43,2.024438e-01,,6.090716e-04,94.00,157.332
44,1.996311e-01,1.943573e-01,5.936907e-04,0.00,169.156
45,1.967916e-01,,5.782172e-04,97.00,157.370
46,1.944569e-01,,5.626666e-04,97.00,157.320
47,1.923027e-01,,5.470542e-04,94.00,157.326
48,1.910271e-01,,5.313953e-04,97.00,157.330
49,1.889696e-01,1.909443e-01,5.157054e-04,6.00,169.101
50,1.879057e-01,,5.000000e-04,94.00,157.386
51,1.864987e-01,,4.842946e-04,94.00,157.316
52,1.844034e-01,,4.686047e-04,97.00,157.298
53,1.834010e-01,,4.529458e-04,97.00,157.242
54,1.817303e-01,1.809421e-01,4.373334e-04,6.00,169.091
55,1.809535e-01,,4.217828e-04,94.00,157.304
56,1.792747e-01,,4.063093e-04,96.00,157.318
57,1.784085e-01,,3.909284e-04,97.00,157.325
58,1.769312e-01,,3.756551e-04,97.00,157.332
59,1.754398e-01,1.760043e-01,3.605044e-04,4.00,169.135
