epoch,curr_step,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
104,3,5.649505e+00,2.754569e+00,9.372095e-05,11.00,17.216
105,3,3.661476e+00,,9.215409e-05,100.00,14.731
106,3,3.978416e+00,,9.058917e-05,100.00,14.802
107,3,4.399698e+00,,8.902657e-05,100.00,14.844
108,3,5.505813e+00,,8.746668e-05,100.00,15.086
109,3,7.872285e+00,6.719989e+00,8.590988e-05,15.00,17.316
110,3,9.112688e+00,,8.435655e-05,100.00,15.045
111,3,4.626261e+00,,8.280709e-05,100.00,14.923
112,3,6.302485e+00,,8.126187e-05,100.00,15.461
113,3,2.142078e+00,,7.972127e-05,100.00,14.903
114,3,2.422460e+00,1.945523e+00,7.818568e-05,57.00,17.290
115,3,2.964693e+00,,7.665546e-05,100.00,14.974
116,3,5.218216e+00,,7.513101e-05,100.00,14.886
117,3,6.408196e+00,,7.361270e-05,100.00,14.858
118,3,5.402808e+00,,7.210089e-05,100.00,15.014
119,3,7.416792e+00,6.497015e+00,7.059597e-05,100.00,17.445
120,3,5.453582e+00,,6.909830e-05,100.00,15.191
121,3,5.943847e+00,,6.760826e-05,100.00,15.267
122,3,4.368975e+00,,6.612621e-05,100.00,14.992
123,3,4.180660e+00,,6.465252e-05,100.00,14.901
124,3,4.474331e+00,3.719740e+00,6.318754e-05,100.00,17.074
125,3,4.319879e+00,,6.173166e-05,100.00,15.140
126,3,4.189391e+00,,6.028521e-05,100.00,14.984
127,3,3.256667e+00,,5.884856e-05,100.00,14.980
128,3,6.010728e+00,,5.742207e-05,100.00,15.020
129,3,3.991286e+00,1.316127e+00,5.600608e-05,17.00,17.092
130,3,3.705011e+00,,5.460095e-05,100.00,15.063
131,3,5.665679e+00,,5.320702e-05,100.00,15.137
132,3,3.336524e+00,,5.182463e-05,100.00,15.065
133,3,3.035489e+00,,5.045413e-05,100.00,14.821
134,3,3.880086e+00,3.611323e+00,4.909586e-05,100.00,17.571
135,3,2.296479e+00,,4.775014e-05,100.00,14.856
136,3,2.592769e+00,,4.641732e-05,100.00,14.891
137,3,2.651718e+00,,4.509772e-05,100.00,15.098
138,3,1.379968e+00,,4.379166e-05,100.00,14.617
139,3,1.624304e+00,3.822912e+00,4.249947e-05,96.00,17.266
140,3,1.873565e+00,,4.122147e-05,100.00,15.026
141,3,2.556930e+00,,3.995798e-05,100.00,15.303
142,3,2.107786e+00,,3.870929e-05,100.00,15.127
143,3,2.055665e+00,,3.747573e-05,100.00,15.185
144,3,2.818174e+00,3.292845e+00,3.625760e-05,96.00,17.919
145,3,1.483825e+00,,3.505520e-05,100.00,14.814
146,3,1.676572e+00,,3.386881e-05,100.00,15.027
147,3,1.115690e+00,,3.269875e-05,100.00,14.792
