epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,3.879746e+02,,2.000000e-03,100.00,95.309
1,1.282278e+01,,1.994522e-03,100.00,22.894
2,8.007457e+00,,1.978148e-03,100.00,22.898
3,6.336170e+00,,1.951057e-03,100.00,22.895
4,5.923205e+00,7.765048e+00,1.913545e-03,70.00,25.074
5,4.153309e+00,,1.866025e-03,100.00,22.906
6,4.581453e+00,,1.809017e-03,100.00,22.904
7,3.000050e+00,,1.743145e-03,100.00,22.902
8,2.719135e+00,,1.669131e-03,100.00,22.899
9,3.454008e+00,3.232441e+00,1.587785e-03,79.00,24.937
10,3.298478e+00,,1.500000e-03,100.00,22.910
11,2.331085e+00,,1.406737e-03,100.00,22.903
12,2.593917e+00,,1.309017e-03,100.00,22.902
13,2.225803e+00,,1.207912e-03,100.00,22.905
14,1.913968e+00,1.794019e+00,1.104528e-03,73.00,24.938
15,1.300063e+00,,1.000000e-03,100.00,22.906
16,9.171291e-01,,8.954715e-04,100.00,22.894
17,9.702989e-01,,7.920883e-04,100.00,22.896
18,9.951183e-01,,6.909830e-04,100.00,22.899
19,7.516396e-01,8.677339e-01,5.932634e-04,4.00,24.929
20,7.090095e-01,,5.000000e-04,100.00,22.897
21,5.968157e-01,,4.122147e-04,100.00,22.902
22,5.589214e-01,,3.308694e-04,100.00,22.896
23,5.392658e-01,,2.568552e-04,100.00,22.901
24,5.226304e-01,5.215773e-01,1.909830e-04,6.00,24.930
25,5.115191e-01,,1.339746e-04,100.00,22.898
26,5.088929e-01,,8.645454e-05,100.00,22.901
27,5.042323e-01,,4.894348e-05,100.00,22.901
28,5.013217e-01,,2.185240e-05,100.00,22.898
29,5.011253e-01,5.064536e-01,5.478105e-06,10.00,24.953
