epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,6.885645e+00,,1.000000e-03,95.00,306.669
1,5.731094e-01,,9.997533e-04,97.00,179.533
2,8.035808e-01,,9.990134e-04,97.00,179.547
3,2.609996e-01,,9.977810e-04,97.00,179.572
4,2.217986e-01,2.051854e-01,9.960574e-04,0.00,192.876
5,1.995566e-01,,9.938442e-04,97.00,179.535
6,1.832806e-01,,9.911436e-04,93.00,179.507
7,1.726716e-01,,9.879584e-04,97.00,179.494
8,6.582408e+00,,9.842916e-04,97.00,179.445
9,7.101348e-01,4.512216e-01,9.801468e-04,89.00,192.131
10,6.064119e-01,,9.755283e-04,97.00,179.254
11,7.256435e-01,,9.704404e-04,97.00,179.252
12,7.169342e-01,,9.648882e-04,97.00,179.261
13,6.734323e-01,,9.588773e-04,97.00,179.279
14,6.184856e-01,6.970376e-01,9.524135e-04,90.00,192.069
15,5.693359e-01,,9.455033e-04,97.00,179.317
16,4.904929e-01,,9.381533e-04,94.00,179.316
17,5.209453e-01,,9.303710e-04,97.00,179.235
18,4.564912e-01,,9.221640e-04,93.00,179.312
19,4.360195e-01,4.429451e-01,9.135403e-04,90.00,192.133
20,4.194039e-01,,9.045085e-04,97.00,179.342
21,4.083081e-01,,8.950775e-04,97.00,179.318
22,3.846859e-01,,8.852566e-04,93.00,179.320
23,3.803411e-01,,8.750555e-04,94.00,179.318
24,3.763537e-01,6.423803e-01,8.644843e-04,90.00,192.140
25,3.702970e-01,,8.535534e-04,94.00,179.298
26,3.662066e-01,,8.422736e-04,93.00,179.324
27,3.646835e-01,,8.306559e-04,97.00,179.337
28,3.635547e-01,,8.187120e-04,97.00,179.340
29,3.616683e-01,3.581603e-01,8.064535e-04,89.00,192.120
30,3.599306e-01,,7.938926e-04,97.00,179.442
31,3.590414e-01,,7.810417e-04,94.00,179.428
32,3.588121e-01,,7.679134e-04,97.00,179.416
33,3.572158e-01,,7.545207e-04,97.00,179.453
34,3.566235e-01,3.544971e-01,7.408768e-04,91.00,192.303
35,3.555134e-01,,7.269952e-04,93.00,179.496
36,3.547219e-01,,7.128896e-04,97.00,179.466
37,3.547486e-01,,6.985739e-04,94.00,179.505
38,3.540698e-01,,6.840623e-04,97.00,179.519
39,3.527764e-01,3.541441e-01,6.693690e-04,90.00,192.339
40,3.532081e-01,,6.545085e-04,97.00,179.498
41,3.467013e-01,,6.394956e-04,97.00,179.514
42,3.291994e-01,,6.243449e-04,97.00,179.513
43,3.227490e-01,,6.090716e-04,93.00,179.520
44,3.139395e-01,3.039641e-01,5.936907e-04,91.00,192.263
45,2.852330e-01,,5.782172e-04,97.00,179.581
46,2.546502e-01,,5.626666e-04,97.00,179.598
47,2.319048e-01,,5.470542e-04,94.00,179.612
48,2.143037e-01,,5.313953e-04,97.00,179.612
49,2.006400e-01,1.917937e-01,5.157054e-04,0.00,192.889
50,1.916096e-01,,5.000000e-04,96.00,179.548
51,1.832149e-01,,4.842946e-04,97.00,179.529
52,1.772626e-01,,4.686047e-04,97.00,179.553
53,1.714437e-01,,4.529458e-04,94.00,179.588
54,1.672152e-01,1.700011e-01,4.373334e-04,0.00,192.852
55,1.621451e-01,,4.217828e-04,97.00,179.504
56,1.582064e-01,,4.063093e-04,97.00,179.477
57,1.547717e-01,,3.909284e-04,97.00,179.477
58,1.518713e-01,,3.756551e-04,97.00,179.456
59,1.481646e-01,1.449552e-01,3.605044e-04,4.00,192.703
