epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,6.123913e+00,,1.000000e-03,94.00,305.704
1,5.399704e-01,,9.997533e-04,97.00,166.881
2,1.071340e+00,,9.990134e-04,94.00,166.749
3,3.367355e-01,,9.977810e-04,94.00,166.675
4,2.858009e-01,2.694693e-01,9.960574e-04,0.00,179.399
5,2.587502e-01,,9.938442e-04,93.00,166.810
6,2.362783e-01,,9.911436e-04,94.00,166.843
7,2.185935e-01,,9.879584e-04,97.00,166.811
8,2.056722e-01,,9.842916e-04,96.00,166.853
9,1.937451e-01,1.898557e-01,9.801468e-04,2.00,179.321
10,1.943467e-01,,9.755283e-04,94.00,166.894
11,1.741394e-01,,9.704404e-04,97.00,166.855
12,9.410200e+00,,9.648882e-04,97.00,166.615
13,1.220440e+00,,9.588773e-04,97.00,166.525
14,5.095015e-01,4.612136e-01,9.524135e-04,91.00,178.716
15,4.576528e-01,,9.455033e-04,97.00,166.557
16,4.206616e-01,,9.381533e-04,97.00,166.599
17,3.642527e-01,,9.303710e-04,97.00,166.655
18,5.255154e-01,,9.221640e-04,97.00,166.660
19,3.661779e-01,3.403128e-01,9.135403e-04,87.00,178.720
20,3.377103e-01,,9.045085e-04,97.00,166.646
21,3.141111e-01,,8.950775e-04,97.00,166.638
22,2.971407e-01,,8.852566e-04,93.00,166.694
23,2.742170e-01,,8.750555e-04,97.00,166.702
24,2.560631e-01,2.487911e-01,8.644843e-04,91.00,178.908
25,2.409128e-01,,8.535534e-04,94.00,166.678
26,2.254312e-01,,8.422736e-04,95.00,166.706
27,2.145561e-01,,8.306559e-04,93.00,166.690
28,2.032468e-01,,8.187120e-04,95.00,166.733
29,1.957441e-01,1.887264e-01,8.064535e-04,1.00,179.227
30,1.898973e-01,,7.938926e-04,97.00,166.784
31,1.837200e-01,,7.810417e-04,94.00,166.764
32,1.797829e-01,,7.679134e-04,96.00,166.788
33,1.741330e-01,,7.545207e-04,93.00,166.739
34,1.715502e-01,1.651040e-01,7.408768e-04,0.00,179.302
35,1.676531e-01,,7.269952e-04,94.00,166.828
36,1.651734e-01,,7.128896e-04,97.00,166.831
37,1.622189e-01,,6.985739e-04,97.00,166.811
38,1.600432e-01,,6.840623e-04,97.00,166.837
39,1.571932e-01,1.523773e-01,6.693690e-04,6.00,179.329
40,1.560796e-01,,6.545085e-04,97.00,166.882
41,1.545310e-01,,6.394956e-04,97.00,166.847
42,1.522946e-01,,6.243449e-04,96.00,166.854
43,1.501768e-01,,6.090716e-04,93.00,166.838
44,1.494390e-01,1.584569e-01,5.936907e-04,89.00,179.051
45,1.478632e-01,,5.782172e-04,97.00,166.858
46,1.457853e-01,,5.626666e-04,97.00,166.951
47,1.448079e-01,,5.470542e-04,97.00,166.901
48,1.433510e-01,,5.313953e-04,97.00,166.769
49,1.425797e-01,1.377961e-01,5.157054e-04,0.00,179.215
50,1.410885e-01,,5.000000e-04,97.00,166.635
51,1.396675e-01,,4.842946e-04,95.00,166.638
52,1.394127e-01,,4.686047e-04,97.00,166.693
53,1.376776e-01,,4.529458e-04,97.00,166.662
54,1.364821e-01,1.362721e-01,4.373334e-04,6.00,179.196
55,1.351521e-01,,4.217828e-04,97.00,166.716
56,1.347834e-01,,4.063093e-04,94.00,166.801
57,1.341347e-01,,3.909284e-04,96.00,166.781
58,1.321889e-01,,3.756551e-04,97.00,166.799
59,1.318176e-01,1.326317e-01,3.605044e-04,0.00,180.302
