epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,4.390250e+02,,2.000000e-03,100.00,118.929
1,9.529383e+00,,1.994522e-03,100.00,22.928
2,6.142842e+00,,1.978148e-03,100.00,22.940
3,8.080051e+00,,1.951057e-03,100.00,22.944
4,3.757424e+00,3.733700e+00,1.913545e-03,6.00,25.036
5,3.333029e+00,,1.866025e-03,100.00,22.944
6,4.425045e+00,,1.809017e-03,100.00,22.946
7,3.439743e+00,,1.743145e-03,100.00,22.948
8,5.629806e+00,,1.669131e-03,100.00,22.942
9,3.618687e+00,1.952006e+00,1.587785e-03,2.00,24.992
10,2.817080e+00,,1.500000e-03,100.00,22.939
11,2.697247e+00,,1.406737e-03,100.00,22.950
12,2.411956e+00,,1.309017e-03,100.00,22.946
13,2.141925e+00,,1.207912e-03,100.00,22.941
14,1.754916e+00,1.032534e+00,1.104528e-03,5.00,24.980
15,1.511262e+00,,1.000000e-03,100.00,22.941
16,1.497509e+00,,8.954715e-04,100.00,22.937
17,1.511486e+00,,7.920883e-04,100.00,22.936
18,1.360495e+00,,6.909830e-04,100.00,22.929
19,1.209559e+00,1.392135e+00,5.932634e-04,100.00,24.696
20,1.019082e+00,,5.000000e-04,100.00,22.938
21,8.977966e-01,,4.122147e-04,100.00,22.932
22,7.305456e-01,,3.308694e-04,100.00,22.932
23,6.262497e-01,,2.568552e-04,100.00,22.938
24,5.539050e-01,5.525712e-01,1.909830e-04,6.00,24.972
25,5.431008e-01,,1.339746e-04,100.00,22.936
26,5.369637e-01,,8.645454e-05,100.00,22.930
27,5.313672e-01,,4.894348e-05,100.00,22.934
28,5.302364e-01,,2.185240e-05,100.00,22.926
29,5.280516e-01,5.272342e-01,5.478105e-06,4.00,24.970
