epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,5.167975e+02,,1.000000e-06,100.00,101.105
1,4.808577e+02,,2.098000e-05,100.00,14.044
2,3.488066e+02,,4.096000e-05,100.00,13.861
3,2.139473e+02,,6.094000e-05,100.00,13.567
4,2.895606e+02,,8.092000e-05,100.00,13.564
5,3.185272e+02,,1.009000e-04,100.00,13.566
6,2.362145e+02,,1.208800e-04,100.00,13.569
7,1.895387e+02,,1.408600e-04,100.00,13.569
8,2.224722e+02,,1.608400e-04,100.00,13.570
9,1.799802e+02,,1.808200e-04,100.00,13.566
10,1.375473e+02,,2.008000e-04,100.00,13.566
11,1.733735e+02,,2.207800e-04,100.00,13.562
12,1.173866e+02,,2.407600e-04,100.00,13.664
13,1.256285e+02,,2.607400e-04,100.00,13.740
14,9.856977e+01,,2.807200e-04,100.00,13.878
15,9.435830e+01,,3.007000e-04,100.00,13.868
16,8.337503e+01,,3.206800e-04,100.00,13.699
17,7.808962e+01,,3.406600e-04,100.00,13.704
18,6.778348e+01,,3.606400e-04,100.00,13.706
19,6.445355e+01,,3.806200e-04,100.00,13.706
20,5.670544e+01,,4.006000e-04,100.00,13.707
21,4.929613e+01,,4.205800e-04,100.00,13.713
22,4.651737e+01,,4.405600e-04,100.00,13.710
23,4.383997e+01,,4.605400e-04,100.00,13.699
24,3.924826e+01,,4.805200e-04,100.00,13.720
25,3.580861e+01,,5.005000e-04,100.00,13.843
26,3.146245e+01,,5.204800e-04,100.00,13.691
27,3.024073e+01,,5.404600e-04,100.00,13.688
28,2.937494e+01,,5.604400e-04,100.00,13.693
29,2.761771e+01,,5.804200e-04,100.00,13.695
30,2.385151e+01,,6.004000e-04,100.00,13.699
31,2.317923e+01,,6.203800e-04,100.00,13.705
32,1.978024e+01,,6.403600e-04,100.00,13.705
33,2.416988e+01,,6.603400e-04,100.00,13.786
34,1.906209e+01,,6.803200e-04,100.00,13.708
35,1.980792e+01,,7.003000e-04,100.00,13.702
36,2.265134e+01,,7.202800e-04,100.00,13.702
37,2.432641e+01,,7.402600e-04,100.00,13.695
38,1.423471e+01,,7.602400e-04,100.00,13.692
39,2.559690e+01,,7.802200e-04,100.00,13.694
40,2.217858e+01,,8.002000e-04,100.00,13.690
41,2.084631e+01,,8.201800e-04,100.00,13.692
42,1.809180e+01,,8.401600e-04,100.00,13.695
43,2.530811e+01,,8.601400e-04,100.00,13.697
44,2.021537e+01,,8.801200e-04,100.00,13.691
45,2.022545e+01,,9.001000e-04,100.00,13.693
46,2.711422e+01,,9.200800e-04,100.00,13.692
47,1.871102e+01,,9.400600e-04,100.00,13.692
48,1.928272e+01,,9.600400e-04,100.00,13.696
49,2.295282e+01,1.166536e+01,9.800200e-04,58.00,30.791
50,2.786310e+01,,1.000000e-03,100.00,13.858
51,3.747883e+01,,9.999997e-04,100.00,13.692
52,3.102308e+01,,9.999989e-04,100.00,13.693
53,2.490515e+01,,9.999974e-04,100.00,13.699
54,3.511284e+01,,9.999955e-04,100.00,13.698
55,3.038056e+01,,9.999929e-04,100.00,13.698
56,2.857027e+01,,9.999898e-04,100.00,13.695
57,2.923380e+01,,9.999861e-04,100.00,13.697
58,2.643714e+01,,9.999819e-04,100.00,13.696
59,2.091008e+01,,9.999770e-04,100.00,13.695
60,2.332951e+01,,9.999716e-04,100.00,13.694
61,2.335927e+01,,9.999657e-04,100.00,13.697
62,2.387499e+01,,9.999592e-04,100.00,13.699
63,2.379292e+01,,9.999521e-04,100.00,13.698
64,2.460680e+01,,9.999444e-04,100.00,13.858
65,1.731634e+01,,9.999362e-04,100.00,13.696
66,1.936384e+01,,9.999274e-04,100.00,13.696
67,2.426305e+01,,9.999181e-04,100.00,13.692
68,1.863584e+01,,9.999081e-04,100.00,13.698
69,1.697264e+01,,9.998976e-04,100.00,13.693
70,1.812528e+01,,9.998866e-04,100.00,13.693
71,1.629667e+01,,9.998750e-04,100.00,13.701
72,1.484490e+01,,9.998628e-04,100.00,13.702
73,1.584045e+01,,9.998500e-04,100.00,13.706
74,1.561217e+01,,9.998367e-04,100.00,13.705
