epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,3.459884e+01,,2.000000e-03,21.00,229.490
1,1.961760e+00,,1.998027e-03,94.00,99.671
2,1.156758e+00,,1.992115e-03,100.00,99.630
3,7.707629e-01,,1.982287e-03,99.00,99.608
4,6.854953e-01,7.799574e-01,1.968583e-03,0.00,107.408
5,5.126116e-01,,1.951057e-03,100.00,99.616
6,5.503280e-01,,1.929776e-03,94.00,99.595
7,3.534241e-01,,1.904827e-03,100.00,99.603
8,2.955382e-01,,1.876307e-03,100.00,99.620
9,2.669332e-01,2.415683e-01,1.844328e-03,0.00,107.422
10,2.442970e-01,,1.809017e-03,100.00,99.610
11,2.222148e-01,,1.770513e-03,100.00,99.605
50,2.267032e-01,,9.504844e-04,96.00,333.465
51,2.127148e-01,,9.485190e-04,96.00,188.694
52,1.844382e-01,,9.465175e-04,96.00,188.603
53,1.709323e-01,,9.444800e-04,96.00,188.587
54,2.137325e-01,1.524840e-01,9.424067e-04,5.00,202.417
55,1.476592e-01,,9.402978e-04,93.00,188.640
56,1.301527e-01,,9.381533e-04,93.00,188.651
57,1.441395e-01,,9.359736e-04,96.00,188.632
58,1.424693e+00,,9.337588e-04,96.00,188.534
59,6.168052e-01,5.437620e-01,9.315090e-04,91.00,201.578
60,6.038617e-01,,9.292244e-04,93.00,188.422
61,5.476821e-01,,9.269053e-04,95.00,188.455
62,7.510843e-01,,9.245517e-04,92.00,188.487
63,5.227645e-01,,9.221640e-04,96.00,188.415
64,4.343925e-01,3.397947e-01,9.197422e-04,88.00,201.721
65,2.445437e+02,,9.172866e-04,96.00,188.527
66,9.630875e+00,,9.147974e-04,96.00,188.375
67,2.227645e+00,,9.122748e-04,96.00,188.388
68,2.220918e+00,,9.097190e-04,95.00,188.395
69,2.436050e+00,9.688321e-01,9.071301e-04,91.00,201.634
70,1.347713e+00,,9.045085e-04,96.00,188.368
71,5.626682e-01,,9.018543e-04,96.00,188.435
72,3.938417e-01,,8.991677e-04,96.00,188.505
73,3.079424e-01,,8.964489e-04,93.00,188.502
74,2.575014e-01,2.317845e-01,8.936982e-04,88.00,201.838
75,2.205078e-01,,8.909157e-04,96.00,188.559
76,8.232213e-01,,8.881018e-04,96.00,188.472
77,4.076096e-01,,8.852566e-04,96.00,188.485
78,3.284114e-01,,8.823804e-04,93.00,188.529
79,2.681518e-01,2.168991e-01,8.794733e-04,90.00,201.788
80,2.237707e-01,,8.765357e-04,96.00,188.581
81,2.025099e-01,,8.735678e-04,96.00,188.551
82,1.826779e-01,,8.705697e-04,93.00,188.567
83,1.668525e-01,,8.675418e-04,93.00,188.584
84,1.531621e-01,1.445205e-01,8.644843e-04,2.00,202.373
85,1.429440e-01,,8.613974e-04,96.00,188.577
86,1.341402e-01,,8.582814e-04,96.00,188.556
87,1.267963e-01,,8.551366e-04,96.00,188.586
88,1.204960e-01,,8.519631e-04,96.00,188.556
89,1.153886e-01,1.138386e-01,8.487613e-04,0.00,202.374
90,1.109501e-01,,8.455313e-04,96.00,188.590
91,1.064131e-01,,8.422736e-04,96.00,188.582
92,1.036255e-01,,8.389882e-04,96.00,188.576
93,9.899158e-02,,8.356755e-04,96.00,188.623
94,9.825793e-02,9.656060e-02,8.323358e-04,0.00,202.724
95,9.302579e-02,,8.289694e-04,96.00,188.606
96,9.188814e-02,,8.255764e-04,96.00,188.648
97,8.976044e-02,,8.221572e-04,96.00,188.654
98,9.107664e-02,,8.187120e-04,96.00,188.640
99,8.548019e-02,8.120924e-02,8.152411e-04,0.00,202.377
100,8.419188e-02,,8.117449e-04,92.00,188.706
101,8.239783e-02,,8.082235e-04,96.00,188.683
102,8.113900e-02,,8.046773e-04,96.00,188.719
103,7.913794e-02,,8.011066e-04,96.00,188.692
104,7.851029e-02,7.713616e-02,7.975116e-04,2.00,202.543
105,7.654737e-02,,7.938926e-04,96.00,188.773
106,7.593591e-02,,7.902500e-04,96.00,188.668
107,7.500912e-02,,7.865839e-04,92.00,188.752
108,7.435831e-02,,7.828948e-04,95.00,188.747
109,7.269643e-02,7.358315e-02,7.791829e-04,0.00,203.252
110,7.184441e-02,,7.754485e-04,96.00,188.737
111,7.128651e-02,,7.716919e-04,96.00,188.679
112,7.010682e-02,,7.679134e-04,94.00,188.662
113,6.922798e-02,,7.641133e-04,96.00,188.614
114,6.956919e-02,6.620092e-02,7.602920e-04,0.00,202.455
115,6.784296e-02,,7.564496e-04,96.00,188.710
116,6.778443e-02,,7.525867e-04,96.00,188.726
116,6.793878e-02,,7.525867e-04,96.00,601.033
117,6.756788e-02,,7.487033e-04,97.00,188.114
118,6.689551e-02,,7.447999e-04,93.00,188.149
119,6.619600e-02,6.534245e-02,7.408768e-04,0.00,202.515
120,6.578490e-02,,7.369343e-04,96.00,188.188
121,6.477795e-02,,7.329727e-04,94.00,188.194
122,6.482733e-02,,7.289924e-04,97.00,188.202
123,6.383283e-02,,7.249936e-04,93.00,188.213
124,6.470280e-02,6.522521e-02,7.209766e-04,0.00,201.961
125,6.239579e-02,,7.169419e-04,96.00,188.347
126,6.201895e-02,,7.128896e-04,97.00,188.333
127,6.203001e-02,,7.088203e-04,96.00,188.304
128,6.132462e-02,,7.047341e-04,96.00,188.286
129,6.058549e-02,6.179638e-02,7.006314e-04,0.00,201.986
130,6.089006e-02,,6.965125e-04,96.00,188.247
