epoch,curr_step,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,1,1.831831e-01,1.843783e-01,1.000000e-04,0.00,469.307
1,1,1.833479e-01,1.807573e-01,1.000000e-04,0.00,174.232
2,1,1.820717e-01,1.855624e-01,1.000000e-04,100.00,173.855
3,1,1.812336e-01,1.816437e-01,1.000000e-04,95.00,173.840
4,1,1.821005e-01,1.817211e-01,1.000000e-04,95.00,173.818
5,2,2.306746e-01,2.242315e-01,1.000000e-04,95.00,191.878
6,2,2.274401e-01,2.278122e-01,1.000000e-04,96.00,191.403
7,2,2.265605e-01,2.272879e-01,1.000000e-04,95.00,192.658
8,2,2.229044e-01,2.239284e-01,1.000000e-04,100.00,191.745
9,2,2.214579e-01,2.246950e-01,1.000000e-04,95.00,192.144
10,3,2.475793e-01,2.410800e-01,1.000000e-04,95.00,209.804
11,3,2.464617e-01,2.507697e-01,1.000000e-04,95.00,211.171
12,3,2.443449e-01,2.407215e-01,1.000000e-04,97.00,210.890
13,3,2.421632e-01,2.397440e-01,1.000000e-04,95.00,209.201
14,3,2.414570e-01,2.399125e-01,1.000000e-04,100.00,210.227
15,4,2.564409e-01,2.645513e-01,1.000000e-04,100.00,228.824
16,4,2.569292e-01,2.541416e-01,1.000000e-04,95.00,227.715
17,4,2.542142e-01,2.526988e-01,1.000000e-04,100.00,227.776
18,4,2.541587e-01,2.556572e-01,1.000000e-04,97.00,227.292
19,4,2.529045e-01,2.565168e-01,1.000000e-04,100.00,229.341
