epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,2.997957e+01,,2.000000e-03,24.00,180.251
1,2.034350e+00,,1.998027e-03,94.00,83.656
2,1.385577e+00,,1.992115e-03,94.00,83.645
3,1.219485e+00,,1.982287e-03,94.00,83.642
4,1.159307e+00,1.948360e+00,1.968583e-03,80.00,90.132
5,9.752844e-01,,1.951057e-03,94.00,83.605
6,1.084710e+00,,1.929776e-03,94.00,83.616
7,7.996841e-01,,1.904827e-03,100.00,83.630
8,6.451242e-01,,1.876307e-03,94.00,83.639
9,5.797573e-01,6.478971e-01,1.844328e-03,62.00,90.154
10,4.790109e-01,,1.809017e-03,94.00,83.650
11,4.841902e-01,,1.770513e-03,94.00,83.635
12,4.189170e-01,,1.728969e-03,94.00,83.633
13,4.080450e-01,,1.684547e-03,94.00,83.646
14,3.606548e-01,3.361064e-01,1.637424e-03,6.00,90.103
15,3.294915e-01,,1.587785e-03,94.00,83.656
16,3.704155e-01,,1.535827e-03,100.00,83.643
17,3.093624e-01,,1.481754e-03,94.00,83.627
18,2.905597e-01,,1.425779e-03,100.00,83.599
19,2.932286e-01,2.793270e-01,1.368125e-03,19.00,90.044
20,2.673688e-01,,1.309017e-03,95.00,83.567
21,2.647741e-01,,1.248690e-03,99.00,83.543
22,2.585217e-01,,1.187381e-03,100.00,83.543
23,2.526263e-01,,1.125333e-03,100.00,83.538
24,2.472688e-01,2.582478e-01,1.062791e-03,0.00,89.998
25,2.667747e-01,,1.000000e-03,96.00,83.509
26,2.376541e-01,,9.372095e-04,95.00,83.529
27,2.332912e-01,,8.746668e-04,94.00,83.544
28,2.284321e-01,,8.126187e-04,94.00,83.538
29,2.227561e-01,2.238480e-01,7.513101e-04,2.00,90.002
30,2.193020e-01,,6.909830e-04,100.00,83.524
31,2.165656e-01,,6.318754e-04,100.00,83.537
32,2.105110e-01,,5.742207e-04,95.00,83.546
33,2.082374e-01,,5.182463e-04,94.00,83.543
34,2.028653e-01,2.053901e-01,4.641732e-04,2.00,90.019
35,2.003022e-01,,4.122147e-04,100.00,83.536
36,1.966553e-01,,3.625760e-04,100.00,83.523
37,1.941683e-01,,3.154529e-04,100.00,83.524
38,1.914993e-01,,2.710314e-04,94.00,83.535
39,1.875718e-01,1.882945e-01,2.294868e-04,5.00,90.011
40,1.863066e-01,,1.909830e-04,95.00,83.529
41,1.844122e-01,,1.556721e-04,100.00,83.533
42,1.812166e-01,,1.236933e-04,94.00,83.546
43,1.812366e-01,,9.517295e-05,100.00,83.517
44,1.787358e-01,1.812510e-01,7.022351e-05,6.00,90.002
45,1.776068e-01,,4.894348e-05,95.00,83.555
46,1.765452e-01,,3.141684e-05,95.00,83.546
47,1.754423e-01,,1.771275e-05,94.00,83.565
48,1.758429e-01,,7.885299e-06,100.00,83.551
49,1.755975e-01,1.757623e-01,1.973272e-06,0.00,90.044
50,1.742555e+03,,1.500000e-03,1.00,200.623
51,6.373885e+00,,1.481754e-03,96.00,84.172
52,5.654653e+00,,1.463296e-03,100.00,84.185
53,3.514112e+00,,1.444635e-03,93.00,84.162
54,3.614549e+00,4.190674e+00,1.425779e-03,94.00,90.379
55,3.330683e+00,,1.406737e-03,93.00,84.116
56,3.322090e+00,,1.387516e-03,93.00,84.148
57,2.920577e+00,,1.368125e-03,100.00,84.149
58,2.243025e+00,,1.348572e-03,97.00,84.147
59,2.739415e+01,1.401529e+00,1.328867e-03,88.00,90.375
60,4.456787e+00,,1.309017e-03,96.00,84.158
61,3.146304e+00,,1.289032e-03,93.00,84.155
62,2.408842e+00,,1.268920e-03,93.00,84.164
63,1.445914e+00,,1.248690e-03,100.00,84.171
64,1.027775e+00,1.002239e+00,1.228351e-03,93.00,90.400
65,7.845385e-01,,1.207912e-03,94.00,84.155
66,6.066736e-01,,1.187381e-03,94.00,84.173
67,5.189184e-01,,1.166769e-03,98.00,84.186
68,4.951253e-01,,1.146083e-03,97.00,84.174
69,2.131589e+00,6.889536e-01,1.125333e-03,91.00,90.425
70,5.070916e-01,,1.104528e-03,93.00,84.180
71,4.711890e-01,,1.083678e-03,100.00,84.165
72,4.727785e-01,,1.062791e-03,100.00,84.165
73,4.666304e-01,,1.041876e-03,93.00,84.188
74,4.764673e-01,4.462801e-01,1.020942e-03,94.00,90.433
75,4.463764e-01,,1.000000e-03,93.00,84.210
76,4.671874e-01,,9.790576e-04,100.00,84.216
77,4.520299e-01,,9.581243e-04,96.00,84.247
78,4.334675e-01,,9.372095e-04,93.00,84.253
79,4.088591e-01,3.727826e-01,9.163222e-04,88.00,90.498
80,3.780122e-01,,8.954715e-04,96.00,84.241
81,3.534006e-01,,8.746668e-04,95.00,84.245
82,3.357326e-01,,8.539170e-04,93.00,84.261
83,3.034069e-01,,8.332313e-04,97.00,84.259
84,3.009557e-01,2.916945e-01,8.126187e-04,88.00,90.477
85,2.931406e-01,,7.920883e-04,94.00,84.227
86,2.835483e-01,,7.716491e-04,94.00,84.223
87,2.757130e-01,,7.513101e-04,100.00,84.252
88,2.677325e-01,,7.310802e-04,94.00,84.242
89,2.641742e-01,2.601880e-01,7.109682e-04,89.00,90.473
90,2.583422e-01,,6.909830e-04,100.00,84.246
91,2.555822e-01,,6.711334e-04,94.00,84.241
92,2.515670e-01,,6.514280e-04,94.00,84.244
93,2.467322e-01,,6.318754e-04,100.00,84.262
94,2.450476e-01,2.424829e-01,6.124844e-04,89.00,90.479
95,2.399348e-01,,5.932634e-04,94.00,84.235
96,2.384778e-01,,5.742207e-04,100.00,84.264
97,2.355908e-01,,5.553648e-04,100.00,84.243
98,2.313712e-01,,5.367040e-04,93.00,84.237
99,2.295464e-01,2.299959e-01,5.182463e-04,88.00,90.499
100,2.274942e-01,,5.000000e-04,100.00,84.241
101,2.256653e-01,,4.819730e-04,98.00,84.255
102,2.234380e-01,,4.641732e-04,100.00,84.258
103,2.204716e-01,,4.466085e-04,100.00,84.267
104,2.196452e-01,2.190613e-01,4.292864e-04,92.00,90.487
105,2.172600e-01,,4.122147e-04,99.00,84.233
106,2.149508e-01,,3.954009e-04,100.00,84.241
107,2.129805e-01,,3.788522e-04,97.00,84.259
108,2.121267e-01,,3.625760e-04,93.00,84.262
109,2.102955e-01,2.129600e-01,3.465794e-04,89.00,90.495
110,2.093554e-01,,3.308694e-04,100.00,84.276
111,2.063662e-01,,3.154529e-04,100.00,84.286
112,2.063848e-01,,3.003367e-04,94.00,84.286
113,2.028113e-01,,2.855273e-04,100.00,84.284
114,2.028244e-01,2.072455e-01,2.710314e-04,89.00,90.519
115,2.012196e-01,,2.568552e-04,94.00,84.297
116,2.007808e-01,,2.430049e-04,93.00,84.299
117,1.995212e-01,,2.294868e-04,94.00,84.303
118,1.962287e-01,,2.163065e-04,97.00,84.287
119,1.969162e-01,2.018705e-01,2.034701e-04,89.00,90.533
120,1.951256e-01,,1.909830e-04,94.00,84.280
121,1.938930e-01,,1.788508e-04,100.00,84.289
122,1.946485e-01,,1.670788e-04,98.00,84.279
123,1.920942e-01,,1.556721e-04,96.00,84.276
124,1.928020e-01,1.908971e-01,1.446357e-04,94.00,90.506
125,1.918239e-01,,1.339746e-04,93.00,84.290
126,1.904155e-01,,1.236933e-04,94.00,84.296
127,1.900069e-01,,1.137964e-04,95.00,84.300
128,1.894570e-01,,1.042882e-04,93.00,84.303
129,1.885030e-01,1.936423e-01,9.517295e-05,89.00,90.519
130,1.893260e-01,,8.645454e-05,93.00,84.293
131,1.871748e-01,,7.813685e-05,100.00,84.302
132,1.871802e-01,,7.022351e-05,94.00,84.294
133,1.871519e-01,,6.271801e-05,93.00,84.291
134,1.862228e-01,1.868961e-01,5.562363e-05,87.00,90.524
135,1.854644e-01,,4.894348e-05,94.00,84.284
136,1.852723e-01,,4.268050e-05,100.00,84.296
137,1.856697e-01,,3.683743e-05,93.00,84.288
138,1.845062e-01,,3.141684e-05,100.00,84.291
139,1.848897e-01,1.829991e-01,2.642110e-05,88.00,90.517
140,1.837501e-01,,2.185240e-05,96.00,84.274
141,1.844236e-01,,1.771275e-05,94.00,84.262
142,1.839130e-01,,1.400396e-05,93.00,84.287
